ID,TableIndex,Season,League Rank,Squad,NumPlayers,Avg_Age,Avg_Poss,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Annual Wages,League,gf2,ga2,gfga,Available_Points,Pythagorean_%,Predicted_Points,Difference
180,91,2021-2022,12,Crystal Palace,78,27.1,51.1,38,11,15,12,50,46,4,48,1.26,46.4,40.7,5.7,0.15,24588,88650389,EPL,2500,2116,4616,114,0.541594454,61.74176776,-13.74176776
181,92,2021-2022,13,Brentford,90,25.4,44.8,38,13,7,18,48,56,-8,46,1.21,45.8,48.5,-2.7,-0.07,16918,25677627,EPL,2304,3136,5440,114,0.423529412,48.28235294,-2.282352941
182,93,2021-2022,14,Aston Villa,66,26.1,46.5,38,13,6,19,52,54,-2,45,1.18,44,49,-4.9,-0.13,41681,86876165,EPL,2704,2916,5620,114,0.48113879,54.84982206,-9.849822064
183,94,2021-2022,15,Southampton,81,25.7,47.7,38,9,13,16,43,67,-24,40,1.05,44.8,60,-15.2,-0.4,30134,63896331,EPL,1849,4489,6338,114,0.291732408,33.25749448,6.742505522
184,95,2021-2022,16,Everton,86,26.7,40,38,11,6,21,43,66,-23,39,1.03,41.2,55.4,-14.2,-0.37,38446,112648575,EPL,1849,4356,6205,114,0.297985496,33.97034649,5.029653505
185,96,2021-2022,17,Leeds United,70,26.1,52.3,38,9,11,18,42,79,-37,38,1,44.4,67.8,-23.5,-0.62,36308,28934417,EPL,1764,6241,8005,114,0.220362274,25.12129919,12.87870081
186,97,2021-2022,18,Burnley,72,28.5,40.2,38,7,14,17,34,53,-19,35,0.92,39.7,57.1,-17.4,-0.46,19278,48025544,EPL,1156,2809,3965,114,0.291551072,33.23682219,1.763177806
187,98,2021-2022,19,Watford,88,28.4,40.7,38,6,5,27,34,77,-43,23,0.61,40,64.5,-24.5,-0.64,20614,50285851,EPL,1156,5929,7085,114,0.163161609,18.60042343,4.39957657
188,99,2021-2022,20,Norwich City,82,26.2,42.9,38,5,7,26,23,84,-61,22,0.58,32.3,75.5,-43.2,-1.14,26836,38060731,EPL,529,7056,7585,114,0.069742914,7.950692156,14.04930784
189,0,2017-2018,1,Barcelona,33,27.7,62.8,38,28,9,1,99,29,70,93,2.45,83.5,41.9,41.6,1.09,67142,248123125,La Liga,9801,841,10642,114,0.920973501,104.9909791,-11.99097914
190,1,2017-2018,2,Atlético Madrid,36,26.6,47.5,38,23,10,5,58,22,36,79,2.08,50.2,35.8,14.4,0.38,52707,100431417,La Liga,3364,484,3848,114,0.874220374,99.66112266,-20.66112266
191,2,2017-2018,3,Real Madrid,32,27.1,60.2,38,22,10,6,94,44,50,76,2,85.4,43.2,42.2,1.11,66863,209320446,La Liga,8836,1936,10772,114,0.820274786,93.51132566,-17.51132566
192,3,2017-2018,4,Valencia,30,24.8,48.6,38,22,7,9,65,38,27,73,1.92,56,48.3,7.7,0.2,38607,61940590,La Liga,4225,1444,5669,114,0.745281355,84.96207444,-11.96207444
193,4,2017-2018,5,Villarreal,40,26.6,50.4,38,18,7,13,57,50,7,61,1.61,53.3,53.4,-0.1,0,16779,33208772,La Liga,3249,2500,5749,114,0.565141764,64.42616107,-3.426161071
194,5,2017-2018,6,Betis,31,27.1,56.9,38,18,6,14,60,61,-1,60,1.58,46,49,-3.1,-0.08,46781,25325944,La Liga,3600,3721,7321,114,0.491736102,56.05791559,3.942084415
195,6,2017-2018,7,Sevilla,33,27.1,54.3,38,17,7,14,49,58,-9,58,1.53,59.5,54.4,5.2,0.14,33006,69891700,La Liga,2401,3364,5765,114,0.416478751,47.47857762,10.52142238
196,7,2017-2018,8,Getafe,36,28.2,40.2,38,15,10,13,42,33,9,55,1.45,48.2,39.7,8.5,0.22,10428,14330747,La Liga,1764,1089,2853,114,0.61829653,70.48580442,-15.48580442
197,8,2017-2018,9,Eibar,33,27.4,52,38,14,9,15,44,50,-6,51,1.34,40.9,44.4,-3.5,-0.09,5338,18443882,La Liga,1936,2500,4436,114,0.436429216,49.75293057,1.247069432
198,9,2017-2018,10,Girona,30,26.3,46.8,38,14,9,15,50,59,-9,51,1.34,50.6,50.4,0.2,0.01,10424,13813041,La Liga,2500,3481,5981,114,0.417990303,47.6508945,3.349105501
199,10,2017-2018,12,Real Sociedad,30,25.9,56.5,38,14,7,17,66,59,7,49,1.29,53.7,50.5,3.1,0.08,19793,42308420,La Liga,4356,3481,7837,114,0.555824933,63.36404236,-14.36404236
200,11,2017-2018,13,Celta Vigo,65,25.7,55.7,38,13,10,15,59,60,-1,49,1.29,55,55.3,-0.3,-0.01,16195,42895429,La Liga,3481,3600,7081,114,0.491597232,56.04208445,-7.042084451
201,12,2017-2018,11,Espanyol,29,26.8,46.9,38,12,13,13,36,42,-6,49,1.29,41.1,52.3,-11.1,-0.29,17882,31534373,La Liga,1296,1764,3060,114,0.423529412,48.28235294,0.717647059
202,13,2017-2018,14,Alavés,33,25.5,40.3,38,15,2,21,40,50,-10,47,1.24,38.5,55.9,-17.4,-0.46,18845,15991901,La Liga,1600,2500,4100,114,0.390243902,44.48780488,2.512195122
203,14,2017-2018,15,Levante,37,25.7,42.8,38,11,13,14,44,58,-14,46,1.21,44.7,63.6,-18.8,-0.5,18534,31199086,La Liga,1936,3364,5300,114,0.365283019,41.64226415,4.357735849
204,15,2017-2018,16,Athletic Club,33,26.7,49.6,38,10,13,15,41,49,-8,43,1.13,49.7,50.3,-0.6,-0.02,37246,40313004,La Liga,1681,2401,4082,114,0.411807937,46.94610485,-3.946104851
205,16,2017-2018,18,La Coruña,36,28.2,46.8,38,6,11,21,38,76,-38,29,0.76,51.6,58.7,-7.1,-0.19,20542,21461472,La Liga,1444,5776,7220,114,0.2,22.8,6.2
206,17,2017-2018,19,Las Palmas,38,27,54.7,38,5,7,26,24,74,-50,22,0.58,38.5,70.5,-32,-0.84,16183,20080579,La Liga,576,5476,6052,114,0.095175149,10.84996695,11.15003305
207,18,2017-2018,20,Málaga,40,27.2,44.1,38,5,5,28,24,61,-37,20,0.53,38.4,59.4,-21,-0.55,20333,25449261,La Liga,576,3721,4297,114,0.13404701,15.28135909,4.718640912
208,19,2018-2019,1,Barcelona,92,27.7,64.4,38,26,9,3,90,36,54,87,2.29,75.8,45.3,30.5,0.8,76104,273055692,La Liga,8100,1296,9396,114,0.862068966,98.27586207,-11.27586207
209,20,2018-2019,2,Atlético Madrid,88,26.4,49.2,38,22,10,6,55,29,26,76,2,47.3,41.9,5.4,0.14,56216,206488336,La Liga,3025,841,3866,114,0.782462494,89.20072426,-13.20072426
210,21,2018-2019,3,Real Madrid,91,27.1,60.1,38,21,5,12,63,46,17,68,1.79,66.7,47.1,19.6,0.52,61040,236713149,La Liga,3969,2116,6085,114,0.652259655,74.35760066,-6.357600657
211,22,2018-2019,4,Valencia,80,26.4,47.1,38,15,16,7,51,35,16,61,1.61,60.7,42.9,17.8,0.47,39504,77065227,La Liga,2601,1225,3826,114,0.679822269,77.49973863,-16.49973863
212,23,2018-2019,6,Sevilla,86,27.9,52.3,38,17,8,13,62,47,15,59,1.55,66.6,45.4,21.3,0.56,35993,78813005,La Liga,3844,2209,6053,114,0.635056997,72.3964976,-13.3964976
213,24,2018-2019,5,Getafe,78,27.5,40.7,38,15,14,9,48,35,13,59,1.55,46.2,43.6,2.6,0.07,11000,19541468,La Liga,2304,1225,3529,114,0.652876169,74.42788325,-15.42788325
214,25,2018-2019,8,Athletic Club,86,27.6,50,38,13,14,11,41,45,-4,53,1.39,43.4,45.7,-2.3,-0.06,40664,57729620,La Liga,1681,2025,3706,114,0.453588775,51.70912035,1.290879655
215,26,2018-2019,7,Espanyol,81,27.7,49.4,38,14,11,13,48,50,-2,53,1.39,48.9,53.8,-4.9,-0.13,19388,32455650,La Liga,2304,2500,4804,114,0.479600333,54.67443797,-1.674437968
216,27,2018-2019,11,Alavés,76,26.7,42.7,38,13,11,14,39,50,-11,50,1.32,41.1,53.2,-12.1,-0.32,17295,23047212,La Liga,1521,2500,4021,114,0.378264113,43.12210893,6.877891072
217,28,2018-2019,10,Betis,81,26.7,61.8,38,14,8,16,44,52,-8,50,1.32,47.1,49.4,-2.4,-0.06,44525,37692866,La Liga,1936,2704,4640,114,0.417241379,47.56551724,2.434482759
218,29,2018-2019,9,Real Sociedad,81,24.9,51.7,38,13,11,14,45,46,-1,50,1.32,49.7,48.6,1.1,0.03,22310,38829174,La Liga,2025,2116,4141,114,0.489012316,55.74740401,-5.747404009
219,30,2018-2019,12,Eibar,79,28.5,54,38,11,14,13,46,50,-4,47,1.24,54.8,45.9,9,0.24,4896,20466820,La Liga,2116,2500,4616,114,0.458405546,52.25823224,-5.258232236
220,31,2018-2019,15,Levante,86,26.3,45.7,38,11,11,16,59,66,-7,44,1.16,53.9,76.2,-22.3,-0.59,20216,36930572,La Liga,3481,4356,7837,114,0.444175067,50.63595764,-6.635957637
221,32,2018-2019,14,Villarreal,87,27.1,48.3,38,10,14,14,49,52,-3,44,1.16,53.9,55,-1.1,-0.03,16732,50125007,La Liga,2401,2704,5105,114,0.470323213,53.61684623,-9.616846229
222,33,2018-2019,17,Celta Vigo,124,25.5,51.6,38,10,11,17,53,62,-9,41,1.08,46.5,60.9,-14.4,-0.38,17603,71016799,La Liga,2809,3844,6653,114,0.422215542,48.13257177,-7.132571772
223,34,2018-2019,16,Valladolid,86,27.4,46.8,38,10,11,17,32,51,-19,41,1.08,41.1,58.5,-17.5,-0.46,18992,16764389,La Liga,1024,2601,3625,114,0.282482759,32.20303448,8.796965517
224,35,2018-2019,18,Girona,79,26.6,48,38,9,10,19,37,53,-16,37,0.97,43.5,52.7,-9.2,-0.24,10948,18939174,La Liga,1369,2809,4178,114,0.327668741,37.35423648,-0.354236477
225,36,2018-2019,19,Huesca,88,26.7,44.5,38,7,12,19,43,65,-22,33,0.87,50.8,60.2,-9.4,-0.25,6605,15732028,La Liga,1849,4225,6074,114,0.304412249,34.70299638,-1.702996378
