"League","Squad","SumOfMP","SumOfW","SumOfL","SumOfD","SumOfGF","SumOfGA","SumOfGD","SumOfGD1","SumOfPts","SumOfAnnual Wages ($)","Cluster_Label"
"Ligue1","Toulouse",296.00,84.00,125.00,87.00,339.00,423.00,-84.00,-84.00,339.00,94480285.00,"4th"
"Ligue1","Troyes",182.00,33.00,101.00,48.00,178.00,320.00,-142.00,-142.00,147.00,25015267.00,"5th"
"Ligue1","Valenciennes",76.00,19.00,37.00,20.00,86.00,118.00,-32.00,-32.00,77.00,8815316.00,
"SerieA","Atalanta",380.00,158.00,118.00,104.00,605.00,478.00,127.00,127.00,576.00,301567359.00,"3rd"
"SerieA","Benevento",114.00,19.00,77.00,18.00,106.00,243.00,-137.00,-137.00,75.00,69154878.00,"6th"
"SerieA","Bologna",342.00,94.00,159.00,89.00,382.00,500.00,-118.00,-118.00,371.00,252965927.00,"4th"
"SerieA","Brescia",38.00,6.00,25.00,7.00,35.00,79.00,-44.00,-44.00,25.00,16499416.00,"6th"
"SerieA","Cagliari",342.00,87.00,165.00,90.00,356.00,535.00,-179.00,-179.00,351.00,258553724.00,"4th"
"SerieA","Carpi",38.00,9.00,18.00,11.00,37.00,57.00,-20.00,-20.00,38.00,15102212.00,"4th"
"SerieA","Catania",76.00,23.00,34.00,19.00,84.00,112.00,-28.00,-28.00,88.00,36656424.00,"4th"
"SerieA","Cesena",38.00,4.00,22.00,12.00,36.00,73.00,-37.00,-37.00,24.00,8276203.00,"5th"
"SerieA","Chievo",266.00,67.00,126.00,73.00,239.00,385.00,-146.00,-146.00,271.00,141606567.00,"4th"
"SerieA","Crotone",114.00,24.00,69.00,21.00,125.00,224.00,-99.00,-99.00,93.00,40358854.00,"6th"
"SerieA","Empoli",152.00,40.00,65.00,47.00,187.00,241.00,-54.00,-54.00,167.00,93029601.00,"4th"
"SerieA","Fiorentina",380.00,156.00,123.00,101.00,570.00,471.00,99.00,99.00,569.00,451492959.00,"3rd"
"SerieA","Frosinone",76.00,13.00,46.00,17.00,64.00,145.00,-81.00,-81.00,56.00,39302037.00,"5th"
"SerieA","Genoa",380.00,102.00,168.00,110.00,412.00,531.00,-119.00,-119.00,416.00,358385889.00,"4th"
"SerieA","Hellas Verona",304.00,83.00,145.00,76.00,363.00,510.00,-147.00,-147.00,325.00,159911870.00,"4th"
"SerieA","Inter",380.00,202.00,78.00,100.00,669.00,378.00,291.00,291.00,706.00,928541184.00,"2nd"
"SerieA","Juventus",380.00,272.00,46.00,62.00,750.00,287.00,463.00,463.00,878.00,1561040644.00,"1st"
"SerieA","Lazio",380.00,191.00,109.00,80.00,679.00,485.00,194.00,194.00,653.00,585741570.00,"2nd"
"SerieA","Lecce",38.00,9.00,21.00,8.00,52.00,85.00,-33.00,-33.00,35.00,32937690.00,"6th"
"SerieA","Livorno",38.00,6.00,25.00,7.00,39.00,77.00,-38.00,-38.00,25.00,11419148.00,"6th"
"SerieA","Milan",380.00,189.00,93.00,98.00,602.00,419.00,183.00,183.00,665.00,978353326.00,"2nd"
"SerieA","Napoli",380.00,235.00,70.00,75.00,749.00,377.00,372.00,372.00,780.00,816045531.00,"2nd"
"SerieA","Palermo",114.00,28.00,50.00,36.00,125.00,174.00,-49.00,-49.00,120.00,76509804.00,"4th"
"SerieA","Parma",228.00,61.00,107.00,60.00,272.00,368.00,-96.00,-96.00,236.00,161810471.00,"4th"
"SerieA","Pescara",38.00,6.00,28.00,4.00,27.00,84.00,-57.00,-57.00,22.00,13245394.00,"6th"
"SerieA","Roma",380.00,207.00,82.00,91.00,672.00,409.00,263.00,263.00,712.00,874024827.00,"2nd"
"SerieA","Salernitana",38.00,7.00,21.00,10.00,33.00,78.00,-45.00,-45.00,31.00,23490524.00,"5th"
"SerieA","Sampdoria",380.00,130.00,165.00,85.00,505.00,569.00,-64.00,-64.00,474.00,315596441.00,"4th"
"SerieA","Sassuolo",342.00,112.00,130.00,100.00,449.00,532.00,-83.00,-83.00,436.00,298877931.00,"4th"
"SerieA","Siena",38.00,9.00,20.00,9.00,36.00,57.00,-21.00,-21.00,30.00,21818162.00,"4th"
"SerieA","SPAL",152.00,32.00,78.00,42.00,149.00,251.00,-102.00,-102.00,138.00,96690268.00,"4th"
"SerieA","Spezia",76.00,19.00,39.00,18.00,93.00,143.00,-50.00,-50.00,75.00,37381018.00,"4th"
"SerieA","Torino",380.00,122.00,130.00,128.00,506.00,510.00,-4.00,-4.00,493.00,342761900.00,"3rd"
"SerieA","Udinese",380.00,118.00,171.00,91.00,458.00,564.00,-106.00,-106.00,445.00,209513035.00,"4th"
"SerieA","Venezia",38.00,6.00,23.00,9.00,34.00,69.00,-35.00,-35.00,27.00,23368232.00,"5th"
"Bundesliga","Arminia",68.00,14.00,33.00,21.00,53.00,105.00,-52.00,-52.00,63.00,20606439.00,"3rd"
"Bundesliga","Augsburg",306.00,96.00,135.00,75.00,389.00,478.00,-89.00,-89.00,363.00,212033844.00,"5th"
"Bundesliga","Bayern Munich",306.00,234.00,34.00,38.00,822.00,259.00,563.00,563.00,740.00,1661049145.00,"1st"
"Bundesliga","Bochum",34.00,12.00,16.00,6.00,38.00,52.00,-14.00,-14.00,42.00,13768197.00,"5th"
"Bundesliga","Braunschweig",34.00,6.00,21.00,7.00,29.00,60.00,-31.00,-31.00,25.00,9707042.00,"6th"
