Player,Squad,MP,Starts,Min,90s,Goals,Goals,Seasons,League
Alexander Hack,Mainz 05,21,14,"1,370",15.2,1,0.07,2020-2021,Bundesliga
André Hahn,Augsburg,29,24,"2,037",22.6,8,0.35,2020-2021,Bundesliga
Amadou Haidara,RB Leipzig,31,21,"1,905",21.2,3,0.14,2020-2021,Bundesliga
Marcel Halstenberg,RB Leipzig,24,19,"1,651",18.3,2,0.11,2020-2021,Bundesliga
Amine Harit,Schalke 04,28,25,"2,101",23.3,2,0.09,2020-2021,Bundesliga
Marcel Hartel,Arminia,22,20,"1,681",18.7,0,0.00,2020-2021,Bundesliga
Makoto Hasebe,Eint Frankfurt,29,26,"2,288",25.4,0,0.00,2020-2021,Bundesliga
Thorgan Hazard,Dortmund,16,8,654,7.3,1,0.14,2020-2021,Bundesliga
Jonas Hector,Köln,19,15,"1,290",14.3,3,0.21,2020-2021,Bundesliga
Hwang Hee-chan,RB Leipzig,18,3,460,5.1,0,0.00,2020-2021,Bundesliga
Dominique Heintz,Freiburg,21,14,"1,369",15.2,0,0.00,2020-2021,Bundesliga
Benjamin Henrichs,RB Leipzig,13,5,540,6.0,0,0.00,2020-2021,Bundesliga
Lucas Hernández,Bayern Munich,23,18,"1,597",17.7,0,0.00,2020-2021,Bundesliga
Patrick Herrmann,M'Gladbach,27,9,876,9.7,0,0.00,2020-2021,Bundesliga
Martin Hinteregger,Eint Frankfurt,29,29,"2,527",28.1,2,0.07,2020-2021,Bundesliga
Marwin Hitz,Dortmund,16,16,"1,395",15.5,0,0.00,2020-2021,Bundesliga
Nicolas Höfler,Freiburg,31,30,"2,729",30.3,1,0.03,2020-2021,Bundesliga
Jonas Hofmann,M'Gladbach,24,21,"1,817",20.2,6,0.30,2020-2021,Bundesliga
Marco Höger,Köln,3,1,53,0.6,0,0.00,2020-2021,Bundesliga
,,,,,,,,2020-2021,Bundesliga
Lucas Höler,Freiburg,33,22,"2,089",23.2,4,0.17,2020-2021,Bundesliga
Matthew Hoppe,Schalke 04,22,15,"1,305",14.5,6,0.41,2020-2021,Bundesliga
Jannes Horn,Köln,29,20,"1,768",19.6,0,0.00,2020-2021,Bundesliga
Timo Horn,Köln,34,34,"3,009",33.4,0,0.00,2020-2021,Bundesliga
Lukáš Hrádecký,Leverkusen,29,29,"2,565",28.5,0,0.00,2020-2021,Bundesliga
Ajdin Hrustic,Eint Frankfurt,11,1,272,3.0,1,0.33,2020-2021,Bundesliga
Florian Hübner,Union Berlin,6,6,525,5.8,0,0.00,2020-2021,Bundesliga
Mats Hummels,Dortmund,33,32,"2,813",31.3,5,0.16,2020-2021,Bundesliga
Klaas-Jan Huntelaar,Schalke 04,9,7,588,6.5,2,0.31,2020-2021,Bundesliga
Iago,Augsburg,18,18,"1,560",17.3,1,0.06,2020-2021,Bundesliga
Vedad Ibišević,Schalke 04,4,1,156,1.7,0,0.00,2020-2021,Bundesliga
Blendi Idrizi,Schalke 04,3,3,238,2.6,1,0.38,2020-2021,Bundesliga
Stefan Ilsanker,Eint Frankfurt,27,17,"1,578",17.5,1,0.06,2020-2021,Bundesliga
Marcus Ingvartsen,Union Berlin,30,24,"1,963",21.8,3,0.14,2020-2021,Bundesliga
Ismail Jakobs,Köln,23,18,"1,726",19.2,1,0.05,2020-2021,Bundesliga
Tony Jantschke,M'Gladbach,8,3,269,3.0,0,0.00,2020-2021,Bundesliga
Rune Jarstein,Hertha BSC,8,8,720,8.0,0,0.00,2020-2021,Bundesliga
Tin Jedvaj,Leverkusen,3,2,152,1.7,0,0.00,2020-2021,Bundesliga
Fredrik Jensen,Augsburg,13,1,377,4.2,0,0.00,2020-2021,Bundesliga
Marco John,Hoffenheim,14,12,997,11.1,0,0.00,2020-2021,Bundesliga
Luka Jović,Eint Frankfurt,18,8,894,9.9,4,0.40,2020-2021,Bundesliga
Ozan Kabak,Schalke 04,14,14,"1,243",13.8,0,0.00,2020-2021,Bundesliga
Pavel Kadeřábek,Hoffenheim,20,17,"1,588",17.6,0,0.00,2020-2021,Bundesliga
Florian Kainz,Köln,8,6,447,5.0,1,0.20,2020-2021,Bundesliga
Sasa Kalajdzic,Stuttgart,33,23,"2,136",23.7,16,0.67,2020-2021,Bundesliga
,,,,,,,,2020-2021,Bundesliga
Daichi Kamada,Eint Frankfurt,32,28,"2,356",26.2,5,0.19,2020-2021,Bundesliga
Marcin Kamiński,Stuttgart,5,2,219,2.4,0,0.00,2020-2021,Bundesliga
Kevin Kampl,RB Leipzig,27,24,"1,932",21.5,0,0.00,2020-2021,Bundesliga
Jimmy Kaparos,Schalke 04,1,0,18,0.2,0,0.00,2020-2021,Bundesliga
Atakan Karazor,Stuttgart,19,10,"1,037",11.5,0,0.00,2020-2021,Bundesliga
Loris Karius,Union Berlin,4,3,292,3.2,0,0.00,2020-2021,Bundesliga
Silas Katompa,Stuttgart,25,24,"1,919",21.3,11,0.52,2020-2021,Bundesliga
Noah Katterbach,Köln,21,12,"1,111",12.3,0,0.00,2020-2021,Bundesliga
Yannik Keitel,Freiburg,12,4,498,5.5,0,0.00,2020-2021,Bundesliga
Marc-Oliver Kempf,Stuttgart,32,32,"2,727",30.3,2,0.07,2020-2021,Bundesliga
Rani Khedira,Augsburg,27,23,"1,818",20.2,1,0.05,2020-2021,Bundesliga
Sami Khedira,Hertha BSC,9,4,395,4.4,0,0.00,2020-2021,Bundesliga
Luca Kilian,Mainz 05,6,4,381,4.2,0,0.00,2020-2021,Bundesliga
Joshua Kimmich,Bayern Munich,27,25,"2,194",24.4,4,0.16,2020-2021,Bundesliga
Davy Klaassen,Werder Bremen,3,3,222,2.5,0,0.00,2020-2021,Bundesliga
Felix Klaus,Wolfsburg,6,1,137,1.5,0,0.00,2020-2021,Bundesliga
Klauss,Hoffenheim,4,0,51,0.6,0,0.00,2020-2021,Bundesliga
Philipp Klement,Stuttgart,18,2,421,4.7,1,0.21,2020-2021,Bundesliga
Mateo Klimowicz,Stuttgart,25,12,"1,198",13.3,1,0.08,2020-2021,Bundesliga
Fabian Klos,Arminia,34,32,"2,709",30.1,5,0.17,2020-2021,Bundesliga
Lukas Klostermann,RB Leipzig,23,15,"1,446",16.1,1,0.06,2020-2021,Bundesliga
Justin Kluivert,RB Leipzig,19,8,813,9.0,3,0.33,2020-2021,Bundesliga
Lukas Klünter,Hertha BSC,11,11,990,11.0,0,0.00,2020-2021,Bundesliga
Ansgar Knauff,Dortmund,4,0,71,0.8,1,1.27,2020-2021,Bundesliga
Robin Knoche,Union Berlin,34,34,"3,042",33.8,1,0.03,2020-2021,Bundesliga
,,,,,,,,2020-2021,Bundesliga
Gregor Kobel,Stuttgart,33,33,"2,970",33.0,0,0.00,2020-2021,Bundesliga
Dominik Kohr,Mainz 05,17,14,"1,268",14.1,1,0.07,2020-2021,Bundesliga
Dominik Kohr,Eint Frankfurt,7,2,260,2.9,0,0.00,2020-2021,Bundesliga
Sead Kolašinac,Schalke 04,17,16,"1,426",15.8,1,0.06,2020-2021,Bundesliga
Ibrahima Konaté,RB Leipzig,14,8,695,7.7,1,0.13,2020-2021,Bundesliga
Filip Kostić,Eint Frankfurt,30,29,"2,534",28.2,4,0.14,2020-2021,Bundesliga
Andrej Kramarić,Hoffenheim,28,26,"2,379",26.4,20,0.76,2020-2021,Bundesliga
Christoph Kramer,M'Gladbach,28,23,"2,033",22.6,0,0.00,2020-2021,Bundesliga
Max Kruse,Union Berlin,22,19,"1,629",18.1,11,0.61,2020-2021,Bundesliga
Lukas Kübler,Freiburg,19,11,884,9.8,0,0.00,2020-2021,Bundesliga
Pierre Kunde,Mainz 05,11,6,513,5.7,0,0.00,2020-2021,Bundesliga
Fabian Kunze,Arminia,26,12,"1,270",14.1,0,0.00,2020-2021,Bundesliga
Ahmed Kutucu,Schalke 04,7,0,108,1.2,0,0.00,2020-2021,Bundesliga
Maxence Lacroix,Wolfsburg,30,29,"2,590",28.8,1,0.03,2020-2021,Bundesliga
Konrad Laimer,RB Leipzig,3,1,84,0.9,0,0.00,2020-2021,Bundesliga
Stefan Lainer,M'Gladbach,33,31,"2,768",30.8,2,0.07,2020-2021,Bundesliga
