Player,Squad,MP,Starts,Min,90s,Goals,Goals,Seasons,League
Roger Martínez,Villarreal,8,2,230,2.6,1,0.39,2017-2018,La Liga
Javier Mascherano,Barcelona,7,6,541,6.0,0,0.00,2017-2018,La Liga
Borja Mayoral,Real Madrid,14,3,345,3.8,3,0.78,2017-2018,La Liga
Róbert Mazáň,Celta Vigo,2,1,81,0.9,0,0.00,2017-2018,La Liga
Álvaro Medrán,Alavés,17,9,947,10.5,2,0.19,2017-2018,La Liga
Álvaro Medrán,Valencia,1,1,72,0.8,0,0.00,2017-2018,La Liga
Óscar Melendo,Espanyol,18,6,686,7.6,0,0.00,2017-2018,La Liga
Brais Méndez,Celta Vigo,20,12,948,10.5,1,0.09,2017-2018,La Liga
Gabriel Mercado,Sevilla,26,25,"2,118",23.5,0,0.00,2017-2018,La Liga
Sabin Merino,Athletic Club,13,4,374,4.2,0,0.00,2017-2018,La Liga
Roque Mesa,Sevilla,7,4,343,3.8,0,0.00,2017-2018,La Liga
Lionel Messi,Barcelona,36,32,"3,000",33.3,34,1.02,2017-2018,La Liga
Michel,Las Palmas,28,26,"2,130",23.7,0,0.00,2017-2018,La Liga
Santi Mina,Valencia,32,17,"1,554",17.3,12,0.69,2017-2018,La Liga
Yerry Mina,Barcelona,5,4,371,4.1,0,0.00,2017-2018,La Liga
Ignasi Miquel,Málaga,20,20,"1,773",19.7,0,0.00,2017-2018,La Liga
,,,,,,,,2017-2018,La Liga
Luka Modrić,Real Madrid,26,23,"1,970",21.9,1,0.05,2017-2018,La Liga
Johan Mojica,Girona,30,22,"2,135",23.7,0,0.00,2017-2018,La Liga
Jorge Molina,Getafe,36,31,"2,786",31.0,7,0.23,2017-2018,La Liga
Daniel Molina Orta,Celta Vigo,1,0,5,0.1,0,0.00,2017-2018,La Liga
Francisco Molinero,Getafe,10,5,579,6.4,0,0.00,2017-2018,La Liga
Momo,Las Palmas,13,8,673,7.5,0,0.00,2017-2018,La Liga
Jefferson Montero,Getafe,4,0,58,0.6,0,0.00,2017-2018,La Liga
Martín Montoya,Valencia,25,24,"2,152",23.9,0,0.00,2017-2018,La Liga
Walter Montoya,Sevilla,1,1,76,0.8,0,0.00,2017-2018,La Liga
Shaquell Moore,Levante,6,5,424,4.7,0,0.00,2017-2018,La Liga
Emre Mor,Celta Vigo,23,4,665,7.4,1,0.14,2017-2018,La Liga
Sergio Mora,Getafe,26,6,813,9.0,0,0.00,2017-2018,La Liga
Erik Morán,Leganés,6,2,228,2.5,0,0.00,2017-2018,La Liga
Gerard Moreno,Espanyol,38,38,"3,412",37.9,16,0.42,2017-2018,La Liga
Héctor Moreno,Real Sociedad,8,8,720,8.0,1,0.12,2017-2018,La Liga
Marlos Moreno,Girona,2,0,30,0.3,0,0.00,2017-2018,La Liga
Loren Morón,Betis,15,12,"1,060",11.8,7,0.59,2017-2018,La Liga
Pedro Mosquera,La Coruña,23,16,"1,396",15.5,0,0.00,2017-2018,La Liga
Toni Moya,Atlético Madrid,1,0,3,0.0,0,0.00,2017-2018,La Liga
Álex Mula,Málaga,11,7,561,6.2,0,0.00,2017-2018,La Liga
Iker Muniain,Athletic Club,14,7,780,8.7,4,0.46,2017-2018,La Liga
Marc Muniesa,Girona,13,13,"1,127",12.5,0,0.00,2017-2018,La Liga
Ezequiel Muñoz,Leganés,19,17,"1,407",15.6,0,0.00,2017-2018,La Liga
Sulley Muntari,La Coruña,8,6,405,4.5,0,0.00,2017-2018,La Liga
Luis Muriel,Sevilla,29,17,"1,608",17.9,7,0.39,2017-2018,La Liga
,,,,,,,,2017-2018,La Liga
Jeison Murillo,Valencia,17,15,"1,374",15.3,0,0.00,2017-2018,La Liga
Fahad Al Muwallad,Levante,2,0,27,0.3,0,0.00,2017-2018,La Liga
Alfred N'Diaye,Villarreal,2,1,101,1.1,0,0.00,2017-2018,La Liga
Nacho,Real Madrid,27,22,"2,074",23.0,3,0.13,2017-2018,La Liga
Matías Nahuel,Betis,7,3,251,2.8,0,0.00,2017-2018,La Liga
Naldo,Espanyol,11,10,921,10.2,0,0.00,2017-2018,La Liga
Nano,Levante,9,2,279,3.1,0,0.00,2017-2018,La Liga
Naranjo,Leganés,16,6,562,6.2,1,0.16,2017-2018,La Liga
Juanjo Narváez,Betis,7,4,304,3.4,0,0.00,2017-2018,La Liga
Fernando Navarro,La Coruña,15,11,"1,046",11.6,0,0.00,2017-2018,La Liga
Marc Navarro,Espanyol,19,10,"1,109",12.3,1,0.08,2017-2018,La Liga
Rafa Navarro,Betis,3,1,134,1.5,0,0.00,2017-2018,La Liga
Ximo Navarro,Las Palmas,31,29,"2,608",29.0,0,0.00,2017-2018,La Liga
Jesús Navas,Sevilla,26,20,"1,763",19.6,1,0.05,2017-2018,La Liga
Keylor Navas,Real Madrid,27,27,"2,430",27.0,0,0.00,2017-2018,La Liga
Raúl Navas,Real Sociedad,20,20,"1,791",19.9,0,0.00,2017-2018,La Liga
Merveille Ndockyt,Getafe,6,0,68,0.8,0,0.00,2017-2018,La Liga
Neto,Valencia,33,33,"2,970",33.0,0,0.00,2017-2018,La Liga
Saúl Ñíguez,Atlético Madrid,36,35,"3,155",35.1,2,0.06,2017-2018,La Liga
Nolito,Sevilla,30,17,"1,600",17.8,4,0.23,2017-2018,La Liga
Unai Núñez,Athletic Club,33,33,"2,941",32.7,1,0.03,2017-2018,La Liga
Steven Nzonzi,Sevilla,27,26,"2,214",24.6,1,0.04,2017-2018,La Liga
Jan Oblak,Atlético Madrid,37,37,"3,330",37.0,0,0.00,2017-2018,La Liga
Álvaro Odriozola,Real Sociedad,35,32,"2,918",32.4,0,0.00,2017-2018,La Liga
Oier Olazábal,Levante,26,26,"2,340",26.0,0,0.00,2017-2018,La Liga
,,,,,,,,2017-2018,La Liga
Paulo Oliveira,Eibar,26,25,"2,214",24.6,0,0.00,2017-2018,La Liga
Mathías Olivera,Getafe,3,1,103,1.1,1,0.87,2017-2018,La Liga
Michael Olunga,Girona,14,4,433,4.8,3,0.62,2017-2018,La Liga
Javier Ontiveros,Málaga,12,1,391,4.3,0,0.00,2017-2018,La Liga
Fabián Orellana,Eibar,17,13,"1,180",13.1,3,0.23,2017-2018,La Liga
Mikel Oyarzabal,Real Sociedad,35,31,"2,772",30.8,12,0.39,2017-2018,La Liga
Daniel Pacheco,Getafe,11,0,175,1.9,0,0.00,2017-2018,La Liga
Fernando Pacheco,Alavés,38,37,"3,358",37.3,0,0.00,2017-2018,La Liga
Costel Pantilimon,La Coruña,6,6,540,6.0,0,0.00,2017-2018,La Liga
Rubén Pardo,Real Sociedad,6,3,221,2.5,0,0.00,2017-2018,La Liga
Nicolás Pareja,Sevilla,5,5,405,4.5,0,0.00,2017-2018,La Liga
Daniel Parejo,Valencia,34,34,"3,001",33.3,7,0.21,2017-2018,La Liga
Thomas Partey,Atlético Madrid,33,28,"2,377",26.4,3,0.11,2017-2018,La Liga
Paulinho,Barcelona,34,21,"1,945",21.6,9,0.42,2017-2018,La Liga
Gabriel Paulista,Valencia,30,29,"2,584",28.7,0,0.00,2017-2018,La Liga
Giampaolo Pazzini,Levante,9,5,445,4.9,1,0.20,2017-2018,La Liga
Alfonso Pedraza,Alavés,33,27,"2,440",27.1,3,0.11,2017-2018,La Liga
Rubén Peña,Eibar,28,18,"1,732",19.2,1,0.05,2017-2018,La Liga
Gabriel Peñalba,Las Palmas,7,7,570,6.3,0,0.00,2017-2018,La Liga
Adalberto Peñaranda,Málaga,13,11,802,8.9,0,0.00,2017-2018,La Liga
Andreas Pereira,Valencia,23,12,"1,078",12.0,1,0.08,2017-2018,La Liga
Hernán Pérez,Alavés,10,4,374,4.2,0,0.00,2017-2018,La Liga
Hernán Pérez,Espanyol,4,1,142,1.6,0,0.00,2017-2018,La Liga
Lucas Pérez,La Coruña,35,31,"2,797",31.1,8,0.26,2017-2018,La Liga
Rubén Pérez,Leganés,31,29,"2,516",28.0,0,0.00,2017-2018,La Liga
,,,,,,,,2017-2018,La Liga
Pablo Piatti,Espanyol,30,22,"1,738",19.3,2,0.10,2017-2018,La Liga
Tomás Pina Isla,Alavés,30,28,"2,387",26.5,1,0.04,2017-2018,La Liga
