Player,Squad,MP,Starts,Min,90s,Goals,Goals,Seasons,League
Orestis Karnezis,Watford,15,14,"1,292",14.4,0,0.00,2017-2018,EPL
Beram Kayal,Brighton,19,8,745,8.3,0,0.00,2017-2018,EPL
Michael Keane,Everton,30,29,"2,560",28.4,0,0.00,2017-2018,EPL
Martin Kelly,Crystal Palace,15,12,"1,195",13.3,0,0.00,2017-2018,EPL
Kenedy,Newcastle Utd,13,13,"1,023",11.4,2,0.18,2017-2018,EPL
Jonjoe Kenny,Everton,19,17,"1,590",17.7,0,0.00,2017-2018,EPL
Andy King,Leicester City,11,5,537,6.0,1,0.17,2017-2018,EPL
Andy King,Swansea City,11,9,715,7.9,2,0.25,2017-2018,EPL
Joshua King,Bournemouth,33,27,"2,453",27.3,8,0.29,2017-2018,EPL
,,,,,,,,2017-2018,EPL
Davy Klaassen,Everton,7,3,251,2.8,0,0.00,2017-2018,EPL
Ragnar Klavan,Liverpool,19,16,"1,451",16.1,1,0.06,2017-2018,EPL
Anthony Knockaert,Brighton,33,27,"2,421",26.9,3,0.11,2017-2018,EPL
Sead Kolašinac,Arsenal,27,25,"2,147",23.9,2,0.08,2017-2018,EPL
Vincent Kompany,Manchester City,17,17,"1,394",15.5,1,0.06,2017-2018,EPL
Terence Kongolo,Huddersfield,13,11,"1,049",11.7,0,0.00,2017-2018,EPL
Laurent Koscielny,Arsenal,25,25,"2,225",24.7,2,0.08,2017-2018,EPL
Cheikhou Kouyaté,West Ham,33,32,"2,799",31.1,2,0.06,2017-2018,EPL
Bojan Krkić,Stoke City,1,1,71,0.8,0,0.00,2017-2018,EPL
Grzegorz Krychowiak,West Brom,27,20,"1,641",18.2,0,0.00,2017-2018,EPL
Rajiv van La Parra,Huddersfield,33,26,"2,137",23.7,3,0.13,2017-2018,EPL
Alexandre Lacazette,Arsenal,32,26,"2,202",24.5,14,0.57,2017-2018,EPL
Freddie Ladapo,Crystal Palace,1,0,17,0.2,0,0.00,2017-2018,EPL
Adam Lallana,Liverpool,12,1,308,3.4,0,0.00,2017-2018,EPL
Érik Lamela,Tottenham,25,7,843,9.4,2,0.21,2017-2018,EPL
Manuel Lanzini,West Ham,27,23,"2,042",22.7,5,0.22,2017-2018,EPL
Aymeric Laporte,Manchester City,9,9,806,9.0,0,0.00,2017-2018,EPL
Jamaal Lascelles,Newcastle Utd,33,32,"2,928",32.5,3,0.09,2017-2018,EPL
Florian Lejeune,Newcastle Utd,24,24,"2,103",23.4,0,0.00,2017-2018,EPL
Mario Lemina,Southampton,25,20,"1,720",19.1,1,0.05,2017-2018,EPL
Aaron Lennon,Burnley,14,13,"1,118",12.4,0,0.00,2017-2018,EPL
Aaron Lennon,Everton,15,9,793,8.8,0,0.00,2017-2018,EPL
Victor Lindelöf,Manchester Utd,17,13,"1,285",14.3,0,0.00,2017-2018,EPL
Jesse Lingard,Manchester Utd,33,20,"1,817",20.2,8,0.40,2017-2018,EPL
Jake Livermore,West Brom,34,30,"2,674",29.7,2,0.07,2017-2018,EPL
,,,,,,,,2017-2018,EPL
Fernando Llorente,Tottenham,16,1,238,2.6,1,0.38,2017-2018,EPL
Hugo Lloris,Tottenham,36,36,"3,240",36.0,0,0.00,2017-2018,EPL
Jürgen Locadia,Brighton,6,3,224,2.5,1,0.40,2017-2018,EPL
Ruben Loftus-Cheek,Crystal Palace,24,21,"1,874",20.8,2,0.10,2017-2018,EPL
Joe Lolley,Huddersfield,6,2,221,2.5,1,0.41,2017-2018,EPL
Kevin Long,Burnley,16,16,"1,440",16.0,1,0.06,2017-2018,EPL
Shane Long,Southampton,30,15,"1,582",17.6,2,0.11,2017-2018,EPL
Ademola Lookman,Everton,7,1,159,1.8,0,0.00,2017-2018,EPL
Jonas Lössl,Huddersfield,38,38,"3,420",38.0,0,0.00,2017-2018,EPL
Dejan Lovren,Liverpool,29,24,"2,127",23.6,2,0.08,2017-2018,EPL
Chris Löwe,Huddersfield,23,19,"1,588",17.6,0,0.00,2017-2018,EPL
Matthew Lowton,Burnley,26,25,"2,295",25.5,0,0.00,2017-2018,EPL
David Luiz,Chelsea,10,9,840,9.3,1,0.11,2017-2018,EPL
Romelu Lukaku,Manchester Utd,34,33,"2,867",31.9,16,0.50,2017-2018,EPL
Dodi Lukebakio,Watford,1,0,16,0.2,0,0.00,2017-2018,EPL
Levi Lumeka,Crystal Palace,1,0,26,0.3,0,0.00,2017-2018,EPL
Harry Maguire,Leicester City,38,38,"3,420",38.0,2,0.05,2017-2018,EPL
Riyad Mahrez,Leicester City,36,34,"2,950",32.8,12,0.37,2017-2018,EPL
Ainsley Maitland-Niles,Arsenal,15,8,914,10.2,0,0.00,2017-2018,EPL
Scott Malone,Huddersfield,22,12,"1,119",12.4,0,0.00,2017-2018,EPL
