Player,Squad,MP,Starts,Min,90s,Goals,Seasons,League
Hamari Traoré,fr Rennes,6,6,540,6.0,0,2020-2021,UEFA
Ibrahima Traoré,de M'Gladbach,3,0,27,0.3,0,2020-2021,UEFA
Francisco Trincão,es Barcelona,7,4,334,3.7,0,2020-2021,UEFA
Kieran Trippier,es Atlético Madrid,7,7,608,6.8,0,2020-2021,UEFA
Anatolii Trubin,ua Shakhtar,5,5,450,5.0,0,2020-2021,UEFA
Adrien Truffert,fr Rennes,5,2,242,2.7,0,2020-2021,UEFA
,,,,,,,2020-2021,UEFA
Kostas Tsimikas,eng Liverpool,4,2,130,1.4,0,2020-2021,UEFA
Viktor Tsyhankov,ua Dynamo Kyiv,5,5,422,4.7,2,2020-2021,UEFA
Axel Tuanzebe,eng Manchester Utd,5,2,203,2.3,0,2020-2021,UEFA
Deniz Turuc,tr Ba?ak?ehir,6,6,522,5.8,1,2020-2021,UEFA
Andreas Ulmer,at RB Salzburg,6,6,540,6.0,0,2020-2021,UEFA
Samuel Umtiti,es Barcelona,1,0,36,0.4,0,2020-2021,UEFA
Dayot Upamecano,de RB Leipzig,7,7,604,6.7,0,2020-2021,UEFA
Mateus Uribe,pt Porto,9,8,746,8.3,1,2020-2021,UEFA
Daniil Utkin,ru Krasnodar,4,3,224,2.5,0,2020-2021,UEFA
Myrto Uzuni,hu Ferencváros,4,3,244,2.7,1,2020-2021,UEFA
Tomáš Vaclík,es Sevilla,2,2,180,2.0,0,2020-2021,UEFA
Mathieu Valbuena,gr Olympiacos,3,3,256,2.8,0,2020-2021,UEFA
Albert Vallci,at RB Salzburg,1,1,90,1.0,0,2020-2021,UEFA
Federico Valverde,es Real Madrid,7,5,490,5.4,0,2020-2021,UEFA
Thomas Van den Keybus,be Club Brugge,1,0,1,0.0,0,2020-2021,UEFA
Ignace Van Der Brempt,be Club Brugge,1,0,7,0.1,0,2020-2021,UEFA
Hans Vanaken,be Club Brugge,6,6,530,5.9,3,2020-2021,UEFA
Raphaël Varane,es Real Madrid,9,9,810,9.0,0,2020-2021,UEFA
Franco Vázquez,es Sevilla,4,1,90,1.0,0,2020-2021,UEFA
Lucas Vázquez,es Real Madrid,8,8,720,8.0,0,2020-2021,UEFA
Benjamin Verbi?,ua Dynamo Kyiv,6,3,288,3.2,0,2020-2021,UEFA
Marco Verratti,fr Paris S-G,7,6,500,5.6,0,2020-2021,UEFA
Lasse Vibe,dk Midtjylland,3,0,48,0.5,0,2020-2021,UEFA
Arturo Vidal,it Inter,4,4,286,3.2,0,2020-2021,UEFA
Fabio Vieira,pt Porto,6,2,160,1.8,1,2020-2021,UEFA
,,,,,,,2020-2021,UEFA
Tonny Vilhena,ru Krasnodar,5,4,384,4.3,0,2020-2021,UEFA
Rúben Vinagre,gr Olympiacos,2,0,22,0.2,0,2020-2021,UEFA
Edin Viš?a,tr Ba?ak?ehir,5,5,423,4.7,1,2020-2021,UEFA
Vitão,ua Shakhtar,3,2,126,1.4,0,2020-2021,UEFA
Vitolo,es Atlético Madrid,3,0,31,0.3,0,2020-2021,UEFA
Bohdan Viunnyk,ua Shakhtar,1,0,1,0.0,0,2020-2021,UEFA
Ruud Vormer,be Club Brugge,6,6,517,5.7,1,2020-2021,UEFA
Stefan de Vrij,it Inter,6,6,540,6.0,0,2020-2021,UEFA
Marious Vrousai,gr Olympiacos,3,2,186,2.1,0,2020-2021,UEFA
Kyle Walker,eng Manchester City,11,11,981,10.9,0,2020-2021,UEFA
Aaron Wan-Bissaka,eng Manchester Utd,6,6,469,5.2,0,2020-2021,UEFA
Wanderson,ru Krasnodar,4,2,205,2.3,1,2020-2021,UEFA
Wendel,ru Zenit,4,1,141,1.6,0,2020-2021,UEFA
Oscar Wendt,de M'Gladbach,4,3,215,2.4,1,2020-2021,UEFA
Timo Werner,eng Chelsea,12,10,810,9.0,4,2020-2021,UEFA
Georginio Wijnaldum,eng Liverpool,9,8,717,8.0,0,2020-2021,UEFA
Brandon Williams,eng Manchester Utd,2,0,62,0.7,0,2020-2021,UEFA
Neco Williams,eng Liverpool,4,2,190,2.1,0,2020-2021,UEFA
Rhys Williams,eng Liverpool,6,3,333,3.7,0,2020-2021,UEFA
Axel Witsel,de Dortmund,5,4,363,4.0,1,2020-2021,UEFA
Maximilian Wöber,at RB Salzburg,6,6,511,5.7,0,2020-2021,UEFA
Hannes Wolf,de M'Gladbach,7,0,84,0.9,0,2020-2021,UEFA
Ashley Young,it Inter,5,5,417,4.6,0,2020-2021,UEFA
Illia Zabarnyi,ua Dynamo Kyiv,6,6,540,6.0,0,2020-2021,UEFA
Dan-Axel Zagadou,de Dortmund,2,0,21,0.2,0,2020-2021,UEFA
,,,,,,,2020-2021,UEFA
Denis Zakaria,de M'Gladbach,5,2,292,3.2,0,2020-2021,UEFA
Duván Zapata,it Atalanta,8,6,522,5.8,3,2020-2021,UEFA
Rifat Zhemaletdinov,ru Loko Moscow,3,1,104,1.2,0,2020-2021,UEFA
Yuri Zhirkov,ru Zenit,3,2,166,1.8,0,2020-2021,UEFA
Dmitri Zhivoglyadov,ru Loko Moscow,6,6,533,5.9,0,2020-2021,UEFA
Oleksandr Zinchenko,eng Manchester City,9,6,587,6.5,0,2020-2021,UEFA
Joshua Zirkzee,de Bayern Munich,1,0,5,0.1,0,2020-2021,UEFA
Hakim Ziyech,eng Chelsea,10,3,349,3.9,2,2020-2021,UEFA
Kurt Zouma,eng Chelsea,5,5,450,5.0,0,2020-2021,UEFA
Oleksandr Zubkov,hu Ferencváros,5,5,387,4.3,0,2020-2021,UEFA
Martin Ødegaard,es Real Madrid,2,2,133,1.5,0,2020-2021,UEFA
Brenden Aaronson,at RB Salzburg,8,8,714,7.9,0,2021-2022,UEFA
Malik Abubakari,se Malmö,4,0,119,1.3,0,2021-2022,UEFA
Marcos Acuña,es Sevilla,5,5,378,4.2,0,2021-2022,UEFA
Tyler Adams,de RB Leipzig,5,3,293,3.3,0,2021-2022,UEFA
Chikwubuike Adamu,at RB Salzburg,8,1,237,2.6,1,2021-2022,UEFA
Antonio Adán,pt Sporting CP,7,7,630,7.0,0,2021-2022,UEFA
Edmund Addo,md Sheriff Tiraspol,6,6,488,5.4,0,2021-2022,UEFA
Karim Adeyemi,at RB Salzburg,8,8,602,6.7,3,2021-2022,UEFA
Michel Aebischer,ch Young Boys,6,6,502,5.6,0,2021-2022,UEFA
Sergio Agüero,es Barcelona,1,0,16,0.2,0,2021-2022,UEFA
Anel Ahmedhodzic,se Malmö,5,5,412,4.6,0,2021-2022,UEFA
Manuel Akanji,de Dortmund,5,5,450,5.0,0,2021-2022,UEFA
Nathan Aké,eng Manchester City,6,3,326,3.6,1,2021-2022,UEFA
David Alaba,es Real Madrid,12,12,"1,039",11.5,1,2021-2022,UEFA
Jordi Alba,es Barcelona,5,5,373,4.1,0,2021-2022,UEFA
Raúl Albiol,es Villarreal,12,12,"1,042",11.6,0,2021-2022,UEFA
Paco Alcácer,es Villarreal,3,1,74,0.8,1,2021-2022,UEFA
Thiago Alcántara,eng Liverpool,10,7,601,6.7,1,2021-2022,UEFA
Trent Alexander-Arnold,eng Liverpool,9,9,791,8.8,0,2021-2022,UEFA
Alisson,eng Liverpool,13,13,"1,170",13.0,0,2021-2022,UEFA
André Almeida,pt Benfica,5,3,236,2.6,0,2021-2022,UEFA
Marcos Alonso,eng Chelsea,8,6,548,6.1,0,2021-2022,UEFA
Éder Álvarez Balanta,be Club Brugge,5,5,405,4.5,0,2021-2022,UEFA
Edson Álvarez,nl Ajax,7,7,556,6.2,0,2021-2022,UEFA
Mohamed Aly Camara,ch Young Boys,4,4,346,3.8,0,2021-2022,UEFA
,,,,,,,2021-2022,UEFA
Benjamin André,fr Lille,7,7,630,7.0,0,2021-2022,UEFA
Oleksandr Andriyevskyi,ua Dynamo Kyiv,2,1,95,1.1,0,2021-2022,UEFA
Angeliño,de RB Leipzig,5,5,430,4.8,0,2021-2022,UEFA
Marcos Antônio,ua Shakhtar,5,2,256,2.8,0,2021-2022,UEFA
Antony,nl Ajax,7,7,574,6.4,2,2021-2022,UEFA
Ronald Araújo,es Barcelona,5,4,367,4.1,0,2021-2022,UEFA
Danilo Arboleda,md Sheriff Tiraspol,6,6,540,6.0,0,2021-2022,UEFA
Maximilian Arnold,de Wolfsburg,6,6,540,6.0,0,2021-2022,UEFA
Kepa Arrizabalaga,eng Chelsea,1,1,90,1.0,0,2021-2022,UEFA
Marco Asensio,es Real Madrid,8,2,209,2.3,1,2021-2022,UEFA
Giorgos Athanasiadis,md Sheriff Tiraspol,5,5,450,5.0,0,2021-2022,UEFA
Ludwig Augustinsson,es Sevilla,3,1,80,0.9,0,2021-2022,UEFA
Serge Aurier,es Villarreal,5,1,132,1.5,0,2021-2022,UEFA
Sardar Azmoun,ru Zenit,5,3,304,3.4,2,2021-2022,UEFA
César Azpilicueta,eng Chelsea,9,8,677,7.5,1,2021-2022,UEFA
Eric Bailly,eng Manchester Utd,2,2,180,2.0,0,2021-2022,UEFA
Tiemoué Bakayoko,it Milan,3,0,59,0.7,0,2021-2022,UEFA
Ridle Baku,de Wolfsburg,6,5,411,4.6,1,2021-2022,UEFA
Alejandro Balde,es Barcelona,2,0,21,0.2,0,2021-2022,UEFA
Gareth Bale,es Real Madrid,2,0,9,0.1,0,2021-2022,UEFA
David von Ballmoos,ch Young Boys,3,3,270,3.0,0,2021-2022,UEFA
Fodé Ballo-Touré,it Milan,2,1,91,1.0,0,2021-2022,UEFA
Jonathan Bamba,fr Lille,6,5,469,5.2,0,2021-2022,UEFA
Nicolò Barella,it Inter,6,6,493,5.5,0,2021-2022,UEFA
Ross Barkley,eng Chelsea,3,1,97,1.1,0,2021-2022,UEFA
,,,,,,,2021-2022,UEFA
Wílmar Barrios,ru Zenit,6,6,540,6.0,0,2021-2022,UEFA
Gil Bastião Dias,pt Benfica,1,0,1,0.0,0,2021-2022,UEFA
Alessandro Bastoni,it Inter,8,7,667,7.4,0,2021-2022,UEFA
Michy Batshuayi,tr Be?ikta?,5,4,384,4.3,0,2021-2022,UEFA
Donny van de Beek,eng Manchester Utd,4,3,204,2.3,0,2021-2022,UEFA
Jude Bellingham,de Dortmund,6,6,500,5.6,1,2021-2022,UEFA
Hatem Ben Arfa,fr Lille,2,0,23,0.3,0,2021-2022,UEFA
Ismaël Bennacer,it Milan,6,4,375,4.2,0,2021-2022,UEFA
Rodrigo Bentancur,it Juventus,5,5,378,4.2,0,2021-2022,UEFA
Karim Benzema,es Real Madrid,12,12,"1,102",12.2,15,2021-2022,UEFA
Steven Berghuis,nl Ajax,8,8,622,6.9,3,2021-2022,UEFA
Federico Bernardeschi,it Juventus,5,4,289,3.2,0,2021-2022,UEFA
Bernardo,at RB Salzburg,2,0,25,0.3,0,2021-2022,UEFA
Paulo Bernardo,pt Benfica,5,0,43,0.5,0,2021-2022,UEFA
Veljko Birman?evi?,se Malmö,6,5,352,3.9,0,2021-2022,UEFA
Blanco,es Real Madrid,1,0,7,0.1,0,2021-2022,UEFA
Daley Blind,nl Ajax,8,7,571,6.3,1,2021-2022,UEFA
Valerii Bondar,ua Shakhtar,1,1,90,1.0,0,2021-2022,UEFA
Artem Bondarenko,ua Shakhtar,2,1,84,0.9,0,2021-2022,UEFA
Solomon Bonnah,de RB Leipzig,1,0,11,0.1,0,2021-2022,UEFA
Leonardo Bonucci,it Juventus,7,6,579,6.4,0,2021-2022,UEFA
Sebastiaan Bornauw,de Wolfsburg,3,2,205,2.3,0,2021-2022,UEFA
Sven Botman,fr Lille,5,5,417,4.6,0,2021-2022,UEFA
Yassine Bounou,es Sevilla,6,6,540,6.0,0,2021-2022,UEFA
Denys Boyko,ua Dynamo Kyiv,1,1,90,1.0,0,2021-2022,UEFA
,,,,,,,2021-2022,UEFA
Can Bozdogan,tr Be?ikta?,4,2,219,2.4,0,2021-2022,UEFA
Domagoj Bradari?,fr Lille,1,0,14,0.2,0,2021-2022,UEFA
Conor Bradley,eng Liverpool,1,0,1,0.0,0,2021-2022,UEFA
Daniel Bragança,pt Sporting CP,5,1,133,1.5,0,2021-2022,UEFA
Julian Brandt,de Dortmund,5,4,395,4.4,0,2021-2022,UEFA
Brian Brobbey,nl Ajax,1,0,10,0.1,0,2021-2022,UEFA
Brian Brobbey,de RB Leipzig,4,1,108,1.2,0,2021-2022,UEFA
John Brooks,de Wolfsburg,4,4,329,3.7,0,2021-2022,UEFA
Franz Brorsson,se Malmö,5,5,446,5.0,0,2021-2022,UEFA
Marcelo Brozovi?,it Inter,8,8,631,7.0,1,2021-2022,UEFA
Nicolas Bürgy,ch Young Boys,2,2,180,2.0,0,2021-2022,UEFA
Heorhiy Bushchan,ua Dynamo Kyiv,5,5,450,5.0,0,2021-2022,UEFA
Sergio Busquets,es Barcelona,6,6,485,5.4,0,2021-2022,UEFA
Vitaliy Buyalskyi,ua Dynamo Kyiv,5,5,434,4.8,0,2021-2022,UEFA
Jovane Cabral,pt Sporting CP,3,1,81,0.9,0,2021-2022,UEFA
Davide Calabria,it Milan,4,4,315,3.5,0,2021-2022,UEFA
Hakan Çalhano?lu,it Inter,6,5,416,4.6,0,2021-2022,UEFA
Mohamed Camara,at RB Salzburg,8,8,669,7.4,0,2021-2022,UEFA
Eduardo Camavinga,es Real Madrid,10,1,305,3.4,0,2021-2022,UEFA
Emre Can,de Dortmund,2,0,73,0.8,0,2021-2022,UEFA
João Cancelo,eng Manchester City,9,9,840,9.3,2,2021-2022,UEFA
Nicolás Capaldo,at RB Salzburg,7,2,286,3.2,0,2021-2022,UEFA
Étienne Capoue,es Villarreal,12,12,"1,044",11.6,2,2021-2022,UEFA
Fábio Cardoso,pt Porto,2,1,156,1.7,0,2021-2022,UEFA
Diego Carlos,es Sevilla,6,6,539,6.0,0,2021-2022,UEFA
,,,,,,,2021-2022,UEFA
Yannick Carrasco,es Atlético Madrid,7,6,471,5.2,0,2021-2022,UEFA
Scott Carson,eng Manchester City,1,0,18,0.2,0,2021-2022,UEFA
Dani Carvajal,es Real Madrid,11,11,955,10.6,0,2021-2022,UEFA
Casemiro,es Real Madrid,11,11,910,10.1,0,2021-2022,UEFA
Frank Castañeda,md Sheriff Tiraspol,5,5,355,3.9,0,2021-2022,UEFA
Koen Casteels,de Wolfsburg,5,5,450,5.0,0,2021-2022,UEFA
Edinson Cavani,eng Manchester Utd,4,0,79,0.9,0,2021-2022,UEFA
Dani Ceballos,es Real Madrid,5,0,41,0.5,0,2021-2022,UEFA
Dumitru Celeadnic,md Sheriff Tiraspol,1,1,90,1.0,0,2021-2022,UEFA
Zeki Çelik,fr Lille,7,7,589,6.5,0,2021-2022,UEFA
Leonardo César Jardim,fr Lille,2,2,180,2.0,0,2021-2022,UEFA
Trevoh Chalobah,eng Chelsea,3,1,177,2.0,1,2021-2022,UEFA
Giorgio Chiellini,it Juventus,1,0,8,0.1,0,2021-2022,UEFA
Federico Chiesa,it Juventus,4,4,334,3.7,2,2021-2022,UEFA
Ben Chilwell,eng Chelsea,4,2,187,2.1,0,2021-2022,UEFA
Dmitri Chistyakov,ru Zenit,5,5,442,4.9,0,2021-2022,UEFA
Andreas Christensen,eng Chelsea,8,8,601,6.7,1,2021-2022,UEFA
Anders Christiansen,se Malmö,4,4,327,3.6,0,2021-2022,UEFA
Samuel Chukwueze,es Villarreal,9,2,277,3.1,2,2021-2022,UEFA
Claudinho,ru Zenit,6,6,456,5.1,2,2021-2022,UEFA
Sebastián Coates,pt Sporting CP,6,6,540,6.0,2,2021-2022,UEFA
Serafim Cojocari,md Sheriff Tiraspol,1,0,1,0.0,0,2021-2022,UEFA
Maxim Cojocaru,md Sheriff Tiraspol,2,0,17,0.2,0,2021-2022,UEFA
Antonio ?olak,se Malmö,6,6,498,5.5,0,2021-2022,UEFA
Kingsley Coman,de Bayern Munich,9,8,628,7.0,2,2021-2022,UEFA
,,,,,,,2021-2022,UEFA
Francisco Conceição,pt Porto,2,0,39,0.4,0,2021-2022,UEFA
Francis Coquelin,es Villarreal,8,6,458,5.1,1,2021-2022,UEFA
Jesús Corona,pt Porto,4,2,214,2.4,0,2021-2022,UEFA
Ángel Correa,es Atlético Madrid,10,3,405,4.5,1,2021-2022,UEFA
Joaquín Correa,it Inter,5,0,111,1.2,0,2021-2022,UEFA
Bruno Xavier Almeida Costa,pt Porto,1,0,12,0.1,0,2021-2022,UEFA
Diogo Costa,pt Porto,6,6,540,6.0,0,2021-2022,UEFA
Thibaut Courtois,es Real Madrid,13,13,"1,230",13.7,0,2021-2022,UEFA
Philippe Coutinho,es Barcelona,4,0,111,1.2,0,2021-2022,UEFA
Juan Cuadrado,it Juventus,7,5,472,5.2,0,2021-2022,UEFA
Matheus Cunha,es Atlético Madrid,5,0,146,1.6,0,2021-2022,UEFA
Danilo D'Ambrosio,it Inter,3,1,147,1.6,0,2021-2022,UEFA
Cosimo Marco Da Graca,it Juventus,1,0,1,0.0,0,2021-2022,UEFA
Johan Dahlin,se Malmö,4,4,315,3.5,0,2021-2022,UEFA
Mahmoud Dahoud,de Dortmund,4,3,212,2.4,0,2021-2022,UEFA
Diogo Dalot,eng Manchester Utd,3,2,234,2.6,0,2021-2022,UEFA
Danilo,it Juventus,5,5,450,5.0,0,2021-2022,UEFA
Arnaut Danjuma,es Villarreal,11,10,903,10.0,6,2021-2022,UEFA
Mohammed Daramy,nl Ajax,2,1,53,0.6,0,2021-2022,UEFA
Matteo Darmian,it Inter,5,3,197,2.2,0,2021-2022,UEFA
Jonathan David,fr Lille,8,8,674,7.5,3,2021-2022,UEFA
Alphonso Davies,de Bayern Munich,7,6,475,5.3,0,2021-2022,UEFA
Kevin De Bruyne,eng Manchester City,10,9,730,8.1,2,2021-2022,UEFA
Charles De Ketelaere,be Club Brugge,6,6,496,5.5,0,2021-2022,UEFA
Rodrigo De Paul,es Atlético Madrid,9,5,578,6.4,1,2021-2022,UEFA
,,,,,,,2021-2022,UEFA
Mattia De Sciglio,it Juventus,4,3,286,3.2,0,2021-2022,UEFA
Koni De Winter,it Juventus,2,1,81,0.9,0,2021-2022,UEFA
Thomas Delaney,es Sevilla,4,2,200,2.2,0,2021-2022,UEFA
Liam Delap,eng Manchester City,1,0,6,0.1,0,2021-2022,UEFA
Ousmane Dembélé,es Barcelona,3,1,123,1.4,0,2021-2022,UEFA
Yusuf Demir,es Barcelona,3,1,102,1.1,0,2021-2022,UEFA
Merih Demiral,it Atalanta,6,5,370,4.1,1,2021-2022,UEFA
Dentinho,ua Shakhtar,1,0,5,0.1,0,2021-2022,UEFA
Sergiño Dest,es Barcelona,4,3,230,2.6,0,2021-2022,UEFA
Ersin Destano?lu,tr Be?ikta?,5,5,450,5.0,0,2021-2022,UEFA
Ángel Di María,fr Paris S-G,5,3,259,2.9,0,2021-2022,UEFA
Boulaye Dia,es Villarreal,8,3,259,2.9,1,2021-2022,UEFA
Abdou Diallo,fr Paris S-G,2,2,164,1.8,0,2021-2022,UEFA
Amad Diallo,eng Manchester Utd,1,1,67,0.7,0,2021-2022,UEFA
Rúben Dias,eng Manchester City,8,7,664,7.4,0,2021-2022,UEFA
Ismael Diawara,se Malmö,3,2,225,2.5,0,2021-2022,UEFA
Brahim Díaz,it Milan,5,5,348,3.9,1,2021-2022,UEFA
Luis Díaz,pt Porto,6,6,521,5.8,2,2021-2022,UEFA
Luis Díaz,eng Liverpool,7,4,384,4.3,2,2021-2022,UEFA
Federico Dimarco,it Inter,7,3,282,3.1,0,2021-2022,UEFA
Junior Dina Ebimbe,fr Paris S-G,1,0,7,0.1,0,2021-2022,UEFA
Tiago Djaló,fr Lille,7,6,533,5.9,0,2021-2022,UEFA
Berat Djimsiti,it Atalanta,5,2,260,2.9,0,2021-2022,UEFA
Dodô,ua Shakhtar,6,6,540,6.0,0,2021-2022,UEFA
Gianluigi Donnarumma,fr Paris S-G,5,5,450,5.0,0,2021-2022,UEFA
,,,,,,,2021-2022,UEFA
Bas Dost,be Club Brugge,3,1,70,0.8,0,2021-2022,UEFA
Julian Draxler,fr Paris S-G,4,1,143,1.6,0,2021-2022,UEFA
Rodrigo Duarte,pt Sporting CP,1,0,2,0.0,0,2021-2022,UEFA
Gustavo Dulanto,md Sheriff Tiraspol,6,6,540,6.0,0,2021-2022,UEFA
Denzel Dumfries,it Inter,7,5,466,5.2,0,2021-2022,UEFA
Paulo Dybala,it Juventus,5,3,254,2.8,3,2021-2022,UEFA
Edin Džeko,it Inter,7,7,537,6.0,3,2021-2022,UEFA
Artem Dzyuba,ru Zenit,6,3,278,3.1,0,2021-2022,UEFA
Ederson,eng Manchester City,11,11,"1,002",11.1,0,2021-2022,UEFA
Marcus Edwards,pt Sporting CP,1,0,33,0.4,0,2021-2022,UEFA
CJ Egan-Riley,eng Manchester City,1,1,90,1.0,0,2021-2022,UEFA
Noah Eile,se Malmö,1,0,4,0.0,0,2021-2022,UEFA
Anthony Elanga,eng Manchester Utd,3,2,172,1.9,1,2021-2022,UEFA
Harvey Elliott,eng Liverpool,1,1,58,0.6,0,2021-2022,UEFA
Youssef En-Nesyri,es Sevilla,2,1,83,0.9,0,2021-2022,UEFA
Aleksandr Erokhin,ru Zenit,6,0,109,1.2,0,2021-2022,UEFA
Ricardo Esgaio,pt Sporting CP,8,2,386,4.3,0,2021-2022,UEFA
Dario Essugo,pt Sporting CP,1,0,10,0.1,0,2021-2022,UEFA
Gonçalo Esteves,pt Sporting CP,1,1,72,0.8,0,2021-2022,UEFA
Pervis Estupiñán,es Villarreal,10,7,645,7.2,0,2021-2022,UEFA
Evanilson,pt Porto,4,4,310,3.4,0,2021-2022,UEFA
Fabinho,eng Liverpool,13,9,849,9.4,1,2021-2022,UEFA
Guillaume Faivre,ch Young Boys,3,3,270,3.0,0,2021-2022,UEFA
Christian Fassnacht,ch Young Boys,3,3,269,3.0,0,2021-2022,UEFA
Ansu Fati,es Barcelona,3,1,154,1.7,1,2021-2022,UEFA
,,,,,,,2021-2022,UEFA
Zouhair Feddal,pt Sporting CP,6,5,451,5.0,0,2021-2022,UEFA
Felipe,es Atlético Madrid,7,6,469,5.2,0,2021-2022,UEFA
João Félix,es Atlético Madrid,8,7,568,6.3,1,2021-2022,UEFA
Bruno Fernandes,eng Manchester Utd,7,6,518,5.8,0,2021-2022,UEFA
Fernandinho,eng Manchester City,8,2,353,3.9,0,2021-2022,UEFA
Fernando,md Sheriff Tiraspol,6,6,540,6.0,0,2021-2022,UEFA
Fernando,es Sevilla,6,6,540,6.0,0,2021-2022,UEFA
Fernando,ua Shakhtar,5,5,346,3.8,2,2021-2022,UEFA
Roberto Firmino,eng Liverpool,7,2,325,3.6,5,2021-2022,UEFA
Alessandro Florenzi,it Milan,4,0,92,1.0,0,2021-2022,UEFA
Phil Foden,eng Manchester City,11,8,658,7.3,3,2021-2022,UEFA
José Fonte,fr Lille,8,8,720,8.0,0,2021-2022,UEFA
Emil Forsberg,de RB Leipzig,6,5,383,4.3,2,2021-2022,UEFA
Juan Foyth,es Villarreal,10,10,890,9.9,0,2021-2022,UEFA
Lassina Franck Traoré,ua Shakhtar,2,2,100,1.1,0,2021-2022,UEFA
Fred,eng Manchester Utd,6,5,431,4.8,0,2021-2022,UEFA
Remo Freuler,it Atalanta,6,6,524,5.8,1,2021-2022,UEFA
Roberto Gagliardini,it Inter,5,0,71,0.8,0,2021-2022,UEFA
Idrissa Gana Gueye,fr Paris S-G,7,5,399,4.4,1,2021-2022,UEFA
Eric García,es Barcelona,4,3,246,2.7,0,2021-2022,UEFA
Ulisses Garcia,ch Young Boys,5,5,434,4.8,0,2021-2022,UEFA
Mario Gaspar,es Villarreal,2,1,93,1.0,0,2021-2022,UEFA
Gavi,es Barcelona,6,4,397,4.4,0,2021-2022,UEFA
David de Gea,eng Manchester Utd,7,7,630,7.0,0,2021-2022,UEFA
Yannick Gerhardt,de Wolfsburg,5,3,191,2.1,0,2021-2022,UEFA
,,,,,,,2021-2022,UEFA
Rachid Ghezzal,tr Be?ikta?,5,4,343,3.8,1,2021-2022,UEFA
Gilberto,pt Benfica,9,8,713,7.9,1,2021-2022,UEFA
Daniel Ginczek,de Wolfsburg,1,0,3,0.0,0,2021-2022,UEFA
Olivier Giroud,it Milan,5,3,260,2.9,0,2021-2022,UEFA
Serge Gnabry,de Bayern Munich,8,5,389,4.3,3,2021-2022,UEFA
Angel Gomes,fr Lille,4,2,168,1.9,1,2021-2022,UEFA
Joe Gomez,eng Liverpool,7,2,250,2.8,0,2021-2022,UEFA
Moi Gómez,es Villarreal,6,2,224,2.5,0,2021-2022,UEFA
Papu Gómez,es Sevilla,5,4,320,3.6,0,2021-2022,UEFA
Diogo Gonçalves,pt Benfica,5,1,134,1.5,0,2021-2022,UEFA
Pedro Gonçalves,pt Sporting CP,5,4,327,3.6,4,2021-2022,UEFA
Nicolás González,es Barcelona,4,2,248,2.8,0,2021-2022,UEFA
Leon Goretzka,de Bayern Munich,6,5,466,5.2,0,2021-2022,UEFA
Robin Gosens,it Atalanta,2,2,100,1.1,1,2021-2022,UEFA
Ryan Gravenberch,nl Ajax,8,8,702,7.8,0,2021-2022,UEFA
Ivo Grbi?,fr Lille,6,6,540,6.0,0,2021-2022,UEFA
Jack Grealish,eng Manchester City,7,5,460,5.1,1,2021-2022,UEFA
Mason Greenwood,eng Manchester Utd,4,3,303,3.4,1,2021-2022,UEFA
Antoine Griezmann,es Atlético Madrid,9,6,517,5.7,4,2021-2022,UEFA
Álex Grimaldo,pt Benfica,10,10,860,9.6,0,2021-2022,UEFA
Marko Gruji?,pt Porto,6,3,320,3.6,0,2021-2022,UEFA
Gabriel Gudmundsson,fr Lille,4,3,241,2.7,0,2021-2022,UEFA
Raphaël Guerreiro,de Dortmund,3,2,182,2.0,0,2021-2022,UEFA
Josuha Guilavogui,de Wolfsburg,5,5,427,4.7,0,2021-2022,UEFA
Daouda Guindo,at RB Salzburg,1,0,5,0.1,0,2021-2022,UEFA
,,,,,,,2021-2022,UEFA
Péter Gulácsi,de RB Leipzig,5,5,450,5.0,0,2021-2022,UEFA
?lkay Gündo?an,eng Manchester City,10,6,663,7.4,0,2021-2022,UEFA
Mert Günok,tr Be?ikta?,1,1,90,1.0,0,2021-2022,UEFA
Miguel Gutiérrez,es Real Madrid,1,1,65,0.7,0,2021-2022,UEFA
Joško Gvardiol,de RB Leipzig,6,3,335,3.7,0,2021-2022,UEFA
Erling Haaland,de Dortmund,3,2,203,2.3,3,2021-2022,UEFA
Munir El Haddadi,es Sevilla,4,2,205,2.3,0,2021-2022,UEFA
Amadou Haidara,de RB Leipzig,4,1,182,2.0,0,2021-2022,UEFA
Achraf Hakimi,fr Paris S-G,8,8,717,8.0,0,2021-2022,UEFA
Sébastien Haller,nl Ajax,8,7,667,7.4,11,2021-2022,UEFA
Samir Handanovi?,it Inter,8,8,720,8.0,0,2021-2022,UEFA
Denys Harmash,ua Dynamo Kyiv,6,3,324,3.6,1,2021-2022,UEFA
Hans Hateboer,it Atalanta,1,1,90,1.0,0,2021-2022,UEFA
Kai Havertz,eng Chelsea,9,6,674,7.5,3,2021-2022,UEFA
Eden Hazard,es Real Madrid,3,1,85,0.9,0,2021-2022,UEFA
Thorgan Hazard,de Dortmund,3,2,141,1.6,0,2021-2022,UEFA
Tom Heaton,eng Manchester Utd,1,0,23,0.3,0,2021-2022,UEFA
Silvan Hefti,ch Young Boys,6,4,385,4.3,1,2021-2022,UEFA
Dean Henderson,eng Manchester Utd,1,1,67,0.7,0,2021-2022,UEFA
Jordan Henderson,eng Liverpool,12,7,666,7.4,1,2021-2022,UEFA
Jack Hendry,be Club Brugge,6,6,540,6.0,0,2021-2022,UEFA
Benjamin Henrichs,de RB Leipzig,4,0,55,0.6,0,2021-2022,UEFA
Mario Hermoso,es Atlético Madrid,6,6,422,4.7,0,2021-2022,UEFA
