Player,Squad,MP,Starts,Min,90s,Goals,Seasons,League
Odsonne Édouard,sct Celtic,2,0,37,0.4,0,2017-2018,UEFA
Giorgos Efrem,cy APOEL FC,1,0,30,0.3,0,2017-2018,UEFA
Omar Elabdellaoui,gr Olympiacos,4,4,360,4.0,0,2017-2018,UEFA
Eliseu,pt Benfica,3,2,199,2.2,0,2017-2018,UEFA
Mohamed Elyounoussi,ch Basel,8,7,641,7.1,2,2017-2018,UEFA
Tarik Elyounoussi,az Qaraba? FK,3,0,32,0.4,0,2017-2018,UEFA
Emmanuel Emenike,gr Olympiacos,2,1,116,1.3,0,2017-2018,UEFA
Björn Engels,gr Olympiacos,5,5,450,5.0,0,2017-2018,UEFA
Christian Eriksen,eng Tottenham,6,6,535,5.9,2,2017-2018,UEFA
Caner Erkin,tr Be?ikta?,6,6,519,5.8,0,2017-2018,UEFA
Sergio Escudero,es Sevilla,10,10,900,10.0,0,2017-2018,UEFA
Fabinho,fr Monaco,5,5,450,5.0,0,2017-2018,UEFA
Cesc Fàbregas,eng Chelsea,8,8,691,7.7,1,2017-2018,UEFA
Fabricio,tr Be?ikta?,6,6,540,6.0,0,2017-2018,UEFA
Radamel Falcao,fr Monaco,5,4,383,4.3,3,2017-2018,UEFA
Agustín Farías,cy APOEL FC,4,0,84,0.9,0,2017-2018,UEFA
Federico Fazio,it Roma,11,10,922,10.2,0,2017-2018,UEFA
Ljubomir Fejsa,pt Benfica,4,4,360,4.0,0,2017-2018,UEFA
Felipe,pt Porto,7,7,578,6.4,1,2017-2018,UEFA
Marouane Fellaini,eng Manchester Utd,3,2,221,2.5,1,2017-2018,UEFA
Bruno Fernandes,pt Sporting CP,6,6,537,6.0,1,2017-2018,UEFA
Mário Fernandes,ru CSKA Moscow,6,6,540,6.0,0,2017-2018,UEFA
,,,,,,,2017-2018,UEFA
Augusto Fernández,es Atlético Madrid,1,1,58,0.6,0,2017-2018,UEFA
Fernandinho,eng Manchester City,8,8,682,7.6,0,2017-2018,UEFA
Fernando,ru Spartak Moscow,6,6,540,6.0,1,2017-2018,UEFA
Facundo Ferreyra,ua Shakhtar,8,8,703,7.8,3,2017-2018,UEFA
Diogo Figueiras,gr Olympiacos,4,4,360,4.0,0,2017-2018,UEFA
Tobias Figueiredo,pt Sporting CP,1,0,13,0.1,0,2017-2018,UEFA
Roberto Firmino,eng Liverpool,13,13,"1,056",11.7,10,2017-2018,UEFA
Alessandro Florenzi,it Roma,10,8,708,7.9,0,2017-2018,UEFA
Phil Foden,eng Manchester City,3,2,194,2.2,0,2017-2018,UEFA
James Forrest,sct Celtic,6,3,306,3.4,0,2017-2018,UEFA
Emil Forsberg,de RB Leipzig,5,5,412,4.6,2,2017-2018,UEFA
Hernâni Fortes,pt Porto,2,0,17,0.2,0,2017-2018,UEFA
Kostas Fortounis,gr Olympiacos,6,3,246,2.7,0,2017-2018,UEFA
Juan Foyth,eng Tottenham,1,1,90,1.0,0,2017-2018,UEFA
Alexander Fransson,ch Basel,3,0,10,0.1,0,2017-2018,UEFA
Fred,ua Shakhtar,8,8,720,8.0,1,2017-2018,UEFA
Fabian Frei,ch Basel,2,2,180,2.0,0,2017-2018,UEFA
Marco Friedl,de Bayern Munich,1,1,90,1.0,0,2017-2018,UEFA
Gabi,es Atlético Madrid,5,4,347,3.9,0,2017-2018,UEFA
Nicolás Gaitán,es Atlético Madrid,4,1,123,1.4,0,2017-2018,UEFA
Cristian Gamboa,sct Celtic,1,1,90,1.0,0,2017-2018,UEFA
Kévin Gameiro,es Atlético Madrid,3,2,164,1.8,1,2017-2018,UEFA
Ganso,es Sevilla,1,0,31,0.3,1,2017-2018,UEFA
Gara Garayev,az Qaraba? FK,6,6,520,5.8,0,2017-2018,UEFA
David de Gea,eng Manchester Utd,6,6,540,6.0,0,2017-2018,UEFA
,,,,,,,2017-2018,UEFA
Johannes Geis,es Sevilla,2,1,91,1.0,0,2017-2018,UEFA
Anthony Georgiou,eng Tottenham,1,0,6,0.1,0,2017-2018,UEFA
Pieter Gerkens,be Anderlecht,5,5,404,4.5,0,2017-2018,UEFA
Gerson,it Roma,6,2,220,2.4,0,2017-2018,UEFA
Rachid Ghezzal,fr Monaco,4,2,142,1.6,0,2017-2018,UEFA
Faouzi Ghoulam,it Napoli,4,4,301,3.3,0,2017-2018,UEFA
Guillaume Gillet,gr Olympiacos,4,3,250,2.8,0,2017-2018,UEFA
Olivier Giroud,eng Chelsea,1,1,67,0.7,0,2017-2018,UEFA
Kamil Glik,fr Monaco,6,6,540,6.0,1,2017-2018,UEFA
Denis Glushakov,ru Spartak Moscow,5,4,336,3.7,1,2017-2018,UEFA
Diego Godín,es Atlético Madrid,4,4,360,4.0,0,2017-2018,UEFA
Aleksandr Golovin,ru CSKA Moscow,6,6,537,6.0,0,2017-2018,UEFA
André Gomes,es Barcelona,9,1,170,1.9,0,2017-2018,UEFA
Joe Gomez,eng Liverpool,5,4,371,4.1,0,2017-2018,UEFA
Maxime Gonalons,it Roma,6,3,309,3.4,0,2017-2018,UEFA
Diogo Gonçalves,pt Benfica,4,4,267,3.0,0,2017-2018,UEFA
Gökhan Gönül,tr Be?ikta?,4,3,291,3.2,0,2017-2018,UEFA
Craig Gordon,sct Celtic,6,6,540,6.0,0,2017-2018,UEFA
Astemir Gordyushenko,ru CSKA Moscow,2,0,31,0.3,0,2017-2018,UEFA
Mario Götze,de Dortmund,5,4,370,4.1,0,2017-2018,UEFA
Antoine Griezmann,es Atlético Madrid,6,6,529,5.9,2,2017-2018,UEFA
Leigh Griffiths,sct Celtic,5,3,248,2.8,1,2017-2018,UEFA
Álex Grimaldo,pt Benfica,4,4,321,3.6,0,2017-2018,UEFA
Marko Gruji?,eng Liverpool,1,0,5,0.1,0,2017-2018,UEFA
Raúl Gudiño,cy APOEL FC,1,0,45,0.5,0,2017-2018,UEFA
,,,,,,,2017-2018,UEFA
Raphaël Guerreiro,de Dortmund,3,3,252,2.8,1,2017-2018,UEFA
Wilde-Donald Guerrier,az Qaraba? FK,6,4,354,3.9,0,2017-2018,UEFA
Péter Gulácsi,de RB Leipzig,6,6,540,6.0,0,2017-2018,UEFA
?lkay Gündo?an,eng Manchester City,9,6,503,5.6,2,2017-2018,UEFA
Achraf Hakimi,es Real Madrid,2,2,180,2.0,0,2017-2018,UEFA
Marcel Halstenberg,de RB Leipzig,6,6,472,5.2,0,2017-2018,UEFA
Marek Hamšík,it Napoli,6,6,465,5.2,0,2017-2018,UEFA
Jasmin Handanovi?,si NK Maribor,6,6,540,6.0,0,2017-2018,UEFA
Sofiane Hanni,be Anderlecht,6,6,471,5.2,1,2017-2018,UEFA
Ridgeciano Haps,nl Feyenoord,4,4,360,4.0,0,2017-2018,UEFA
Hamdi Harbaoui,be Anderlecht,2,0,14,0.2,0,2017-2018,UEFA
Eden Hazard,eng Chelsea,8,7,611,6.8,3,2017-2018,UEFA
Jordan Henderson,eng Liverpool,10,9,868,9.6,0,2017-2018,UEFA
Pedro Henrique,az Qaraba? FK,4,4,281,3.1,1,2017-2018,UEFA
Lucas Hernández,es Atlético Madrid,3,3,270,3.0,0,2017-2018,UEFA
Theo Hernández,es Real Madrid,3,1,131,1.5,0,2017-2018,UEFA
Ander Herrera,eng Manchester Utd,6,5,376,4.2,0,2017-2018,UEFA
Héctor Herrera,pt Porto,6,6,531,5.9,1,2017-2018,UEFA
