Player,Squad,MP,Starts,Min,90s,Goals,Goals,Seasons,League
Ahmad Benali,Crotone,10,10,811,9.0,1,0.11,2017-2018,Serie A
Marco Benassi,Fiorentina,35,35,"2,782",30.9,5,0.16,2017-2018,Serie A
Medhi Benatia,Juventus,20,19,"1,755",19.5,2,0.10,2017-2018,Serie A
Rodrigo Bentancur,Juventus,20,5,581,6.5,0,0.00,2017-2018,Serie A
Domenico Berardi,Sassuolo,31,29,"2,296",25.5,4,0.16,2017-2018,Serie A
Álex Berenguer,Torino,22,11,"1,043",11.6,1,0.09,2017-2018,Serie A
Bartosz Bereszyński,Sampdoria,31,28,"2,480",27.6,0,0.00,2017-2018,Serie A
Etrit Berisha,Atalanta,31,31,"2,790",31.0,0,0.00,2017-2018,Serie A
Federico Bernardeschi,Juventus,22,7,847,9.4,4,0.43,2017-2018,Serie A
Andrea Bertolacci,Genoa,33,33,"2,895",32.2,1,0.03,2017-2018,Serie A
Daniel Bessa,Hellas Verona,17,15,"1,389",15.4,1,0.06,2017-2018,Serie A
Daniel Bessa,Genoa,11,6,438,4.9,2,0.41,2017-2018,Serie A
Matteo Bianchetti,Hellas Verona,2,1,124,1.4,0,0.00,2017-2018,Serie A
Lucas Biglia,Milan,28,24,"2,039",22.7,1,0.04,2017-2018,Serie A
Jean-Claude Billong,Benevento,5,3,294,3.3,0,0.00,2017-2018,Serie A
Davide Biondini,Sassuolo,7,2,206,2.3,0,0.00,2017-2018,Serie A
Cristiano Biraghi,Fiorentina,34,34,"2,980",33.1,1,0.03,2017-2018,Serie A
Davide Biraschi,Genoa,23,20,"1,796",20.0,0,0.00,2017-2018,Serie A
Valter Birsa,Chievo,35,29,"2,504",27.8,3,0.11,2017-2018,Serie A
Albano Bizzarri,Udinese,32,32,"2,880",32.0,0,0.00,2017-2018,Serie A
Deian Boldor,Hellas Verona,1,1,90,1.0,0,0.00,2017-2018,Serie A
Giacomo Bonaventura,Milan,33,30,"2,541",28.2,8,0.28,2017-2018,Serie A
Federico Bonazzoli,SPAL,11,2,176,2.0,0,0.00,2017-2018,Serie A
Federico Bonazzoli,Sampdoria,1,0,28,0.3,0,0.00,2017-2018,Serie A
Kevin Bonifazi,Torino,6,4,408,4.5,0,0.00,2017-2018,Serie A
,,,,,,,,2017-2018,Serie A
Leonardo Bonucci,Milan,35,35,"3,085",34.3,2,0.06,2017-2018,Serie A
Fabio Borini,Milan,29,19,"1,610",17.9,2,0.11,2017-2018,Serie A
Marco Borriello,SPAL,15,9,773,8.6,1,0.12,2017-2018,Serie A
Lucas Boyé,Torino,11,0,155,1.7,0,0.00,2017-2018,Serie A
Enrico Brignola,Benevento,18,16,"1,347",15.0,3,0.20,2017-2018,Serie A
Alberto Brignoli,Benevento,13,11,"1,126",12.5,1,0.08,2017-2018,Serie A
Petar Brlek,Genoa,5,3,232,2.6,0,0.00,2017-2018,Serie A
Marcelo Brozović,Inter,31,21,"1,926",21.4,4,0.19,2017-2018,Serie A
Marcel Büchel,Hellas Verona,23,20,"1,696",18.8,0,0.00,2017-2018,Serie A
Ante Budimir,Crotone,22,17,"1,588",17.6,6,0.34,2017-2018,Serie A
Gianluigi Buffon,Juventus,21,21,"1,862",20.7,0,0.00,2017-2018,Serie A
Alessandro Buongiorno,Torino,1,0,9,0.1,0,0.00,2017-2018,Serie A
Nicolás Burdisso,Torino,24,23,"2,069",23.0,0,0.00,2017-2018,Serie A
Leandro Cabrera,Crotone,5,4,365,4.1,0,0.00,2017-2018,Serie A
Fabrizio Cacciatore,Chievo,33,32,"2,871",31.9,2,0.06,2017-2018,Serie A
